,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
415,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,,,
416,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,,,,,
417,getsockname,connect,connect,getsockname,connect,connect,getsockname,connect,connect,getsockname,,,,,
418,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,,,,
419,mmap2,close,mmap2,arch_prctl,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,,,,
420,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,rt_sigaction,rt_sigprocmask,prlimit64,brk,brk,,,,
421,openat,read,close,openat,openat,read,close,openat,read,close,openat,,,,
422,open,mmap2,mmap2,mprotect,readlink,mmap2,mmap2,mprotect,mmap2,mprotect,mmap2,,,,
423,openat,stat,openat,stat,openat,stat,openat,stat,openat,stat,writev,,,,
424,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,rt_sigaction,,,,
425,brk,getpid,rt_sigaction,rt_sigaction,getppid,uname,stat,stat,rt_sigaction,rt_sigaction,rt_sigaction,,,,
426,rt_sigaction,close,dup2,close,dup2,close,openat,fcntl,dup2,close,execve,,,,
427,stat,openat,stat,openat,stat,openat,stat,openat,stat,openat,openat,,,,
428,mmap2,mprotect,mmap2,mmap2,close,mprotect,openat,lseek,fstat,read,close,,,,
429,close,dup2,close,dup2,close,openat,fcntl,dup2,close,execve,close,,,,
430,close,execve,close,dup2,close,dup2,close,openat,fcntl,dup2,close,,,,
431,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,mmap2,mprotect,clone,,,,
432,openat,stat,openat,read,fstat,mmap2,mmap2,mprotect,mmap2,close,openat,,,,
433,connect,getsockname,connect,connect,getsockname,connect,connect,getsockname,connect,connect,getsockname,,,,
434,lseek,lseek,lseek,lseek,lseek,lseek,lseek,lseek,write,lseek,write,,,,
435,pipe,clone,close,rt_sigaction,close,dup2,close,openat,fcntl,dup2,close,,,,
436,futex,futex,futex,futex,futex,futex,futex,futex,futex,futex,futex,,,,
437,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,,,,
