,0,1,2,3,4,5,6,7,8,9,10
10211,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,rt_sigaction,20,,
10212,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,20,,
10213,mprotect,mprotect,mprotect,mprotect,mprotect,mprotect,set_tid_address,set_robust_list,rt_sigaction,20,
10214,mprotect,readlink,mmap2,20,,,,,,,
10215,open,brk,ioctl,20,,,,,,,
10216,open,close,writev,writev,writev,20,,,,,
10217,open,ioctl,close,20,,,,,,,
10218,open,ioctl,writev,close,20,,,,,,
10219,open,ioctl,writev,writev,writev,20,,,,,
10220,open,mmap2,close,20,,,,,,,
10221,open,mmap2,mprotect,mmap2,20,,,,,,
10222,open,mmap2,mprotect,mmap2,mmap2,20,,,,,
10223,open,mprotect,mmap2,20,,,,,,,
10224,open,mprotect,mmap2,mmap2,20,,,,,,
10225,open,open,readv,20,,,,,,,
10226,open,open,writev,brk,brk,20,,,,,
10227,open,read,mmap2,mprotect,20,,,,,,
10228,open,read,mprotect,20,,,,,,,
10229,open,read,read,20,,,,,,,
10230,open,read,read,close,20,,,,,,
10231,open,writev,brk,brk,20,,,,,,
10232,openat,brk,openat,20,,,,,,,
10233,openat,brk,read,20,,,,,,,
10234,openat,close,fcntl,20,,,,,,,
10235,openat,close,fcntl,close,20,,,,,,
10236,openat,close,openat,fcntl,20,,,,,,
10237,openat,close,openat,fcntl,close,20,,,,,
10238,openat,close,openat,openat,close,20,,,,,
10239,openat,fcntl,close,openat,20,,,,,,
10240,openat,fcntl,openat,close,20,,,,,,
10241,openat,fstat,getdents,getdents,close,20,,,,,
10242,openat,fstat,read,close,openat,read,20,,,,
10243,openat,fstat,read,openat,read,20,,,,,
10244,openat,futex,openat,20,,,,,,,
10245,openat,getdents,getdents,close,20,,,,,,
10246,openat,lseek,write,20,,,,,,,
10247,openat,openat,close,openat,read,20,,,,,
10248,openat,openat,close,read,20,,,,,,
10249,openat,openat,fcntl,close,20,,,,,,
10250,openat,openat,fstat,close,openat,20,,,,,
10251,openat,openat,fstat,openat,20,,,,,,
10252,openat,openat,fstat,read,read,20,,,,,
10253,openat,openat,openat,fstat,close,20,,,,,
10254,openat,openat,openat,openat,openat,fstat,20,,,,
10255,openat,openat,read,close,openat,20,,,,,
10256,openat,openat,read,close,openat,read,20,,,,
10257,openat,openat,read,close,read,20,,,,,
10258,openat,openat,read,openat,20,,,,,,
10259,openat,openat,read,openat,read,20,,,,,
10260,openat,read,futex,futex,20,,,,,,
10261,openat,read,openat,openat,openat,20,,,,,
10262,openat,read,read,close,openat,close,20,,,,
10263,openat,read,read,openat,close,20,,,,,
10264,openat,read,read,read,close,openat,20,,,,
10265,openat,read,read,read,openat,20,,,,,
10266,openat,write,close,20,,,,,,,
10267,pipe2,eventfd2,read,rt_sigaction,rt_sigprocmask,20,,,,,
10268,pipe2,eventfd2,read,rt_sigaction,write,rt_sigprocmask,20,,,,
10269,pipe2,eventfd2,read,rt_sigprocmask,20,,,,,,
10270,pipe2,eventfd2,read,rt_sigprocmask,rt_sigaction,20,,,,,
10271,pipe2,eventfd2,read,rt_sigprocmask,rt_sigprocmask,20,,,,,
10272,pipe2,eventfd2,read,write,rt_sigprocmask,20,,,,,
10273,pipe2,eventfd2,rt_sigaction,rt_sigprocmask,20,,,,,,
10274,pipe2,eventfd2,rt_sigaction,write,rt_sigprocmask,20,,,,,
10275,pipe2,eventfd2,rt_sigprocmask,read,rt_sigaction,rt_sigprocmask,20,,,,
10276,pipe2,eventfd2,rt_sigprocmask,read,rt_sigaction,write,rt_sigprocmask,20,,,
10277,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,20,,,,,
10278,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigaction,20,,,,
10279,pipe2,eventfd2,rt_sigprocmask,read,rt_sigprocmask,rt_sigprocmask,20,,,,
