,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
65,brk,brk,access,,,,,,,,,,,,
66,munmap,munmap,mprotect,,,,,,,,,,,,
67,mmap2,munmap,mprotect,,,,,,,,,,,,
68,futex,futex,mmap2,,,,,,,,,,,,
69,epoll_wait,read,write,,,,,,,,,,,,
70,brk,futex,futex,,,,,,,,,,,,
71,futex,futex,brk,,,,,,,,,,,,
72,futex,futex,openat,,,,,,,,,,,,
73,socket,bind,getsockname,,,,,,,,,,,,
74,recvmsg,recvmsg,close,,,,,,,,,,,,
75,futex,brk,brk,,,,,,,,,,,,
76,lseek,fstat,write,,,,,,,,,,,,
77,stat,stat,mkdir,,,,,,,,,,,,
78,write,epoll_wait,read,,,,,,,,,,,,
79,write,close,openat,,,,,,,,,,,,
80,getdents,close,write,,,,,,,,,,,,
81,write,write,openat,,,,,,,,,,,,
82,futex,futex,read,,,,,,,,,,,,
83,mprotect,mprotect,mmap2,,,,,,,,,,,,
84,rename,openat,fstat,,,,,,,,,,,,
85,fstat,brk,brk,,,,,,,,,,,,
86,close,openat,mmap2,,,,,,,,,,,,
87,read,lseek,read,close,,,,,,,,,,,
88,read,close,fstat,write,,,,,,,,,,,
89,brk,brk,open,read,,,,,,,,,,,
90,openat,fstat,fcntl,fcntl,,,,,,,,,,,
91,open,fcntl,read,close,,,,,,,,,,,
92,close,open,fcntl,read,,,,,,,,,,,
93,setsockopt,setsockopt,setsockopt,setsockopt,,,,,,,,,,,
94,mmap2,mmap2,close,munmap,,,,,,,,,,,
95,stat,openat,stat,writev,,,,,,,,,,,
96,read,munmap,close,openat,,,,,,,,,,,
97,openat,read,close,mmap2,,,,,,,,,,,
98,pipe,clone,close,stat,,,,,,,,,,,
99,dup2,close,execve,brk,,,,,,,,,,,
100,mmap2,close,mmap2,mmap2,,,,,,,,,,,
101,fcntl,dup2,close,stat,,,,,,,,,,,
102,geteuid,getuid,brk,brk,,,,,,,,,,,
103,lseek,fstat,read,close,,,,,,,,,,,
104,fstat,read,close,openat,,,,,,,,,,,
105,read,fstat,write,read,,,,,,,,,,,
106,stat,openat,openat,openat,,,,,,,,,,,
107,openat,fstat,getdents,stat,,,,,,,,,,,
108,mmap2,mprotect,clone,futex,,,,,,,,,,,
109,sendto,poll,recvfrom,recvfrom,,,,,,,,,,,
110,poll,recvfrom,close,write,,,,,,,,,,,
111,futex,futex,open,fcntl,,,,,,,,,,,
112,mmap2,munmap,munmap,mprotect,,,,,,,,,,,
113,brk,openat,read,close,,,,,,,,,,,
114,recvmsg,recvmsg,recvmsg,close,,,,,,,,,,,
115,read,close,futex,futex,,,,,,,,,,,
